"ens_gene"	"most_sig_transcript"	"pval"	"qval"	"num_transcripts"	"list_of_transcripts"
"62"	"ENSG00000101367"	"ENST00000375571"	0.00930589299264059	0.11803790585402	1	"ENST00000375571"
"63"	"ENSG00000101608"	"ENST00000217652"	0.54396814717073	0.869739516672207	12	"ENST00000217652, ENST00000536605, ENST00000577510, ENST00000578038, ENST00000578562, ENST00000578611, ENST00000579226, ENST00000580353, ENST00000580887, ENST00000583449, ENST00000585090, ENST00000608786"
"64"	"ENSG00000101825"	"ENST00000217939"	0.00816691593273382	0.109345929988269	1	"ENST00000217939"
"65"	"ENSG00000102172"	"ENST00000404933"	0.781390032986215	0.967089308739482	4	"ENST00000404933, ENST00000379404, ENST00000457085, ENST00000478094"
"66"	"ENSG00000102265"	"ENST00000218388"	0.0578043463636349	0.352679682876861	5	"ENST00000218388, ENST00000441738, ENST00000377017, ENST00000445623, ENST00000456754"
"67"	"ENSG00000102316"	"ENST00000347546"	0.322598613183887	0.74171278565723	13	"ENST00000347546, ENST00000375058, ENST00000218439, ENST00000375053, ENST00000375060, ENST00000375068, ENST00000396224, ENST00000463787, ENST00000485483, ENST00000487463, ENST00000487482, ENST00000497484, ENST00000627068"
"68"	"ENSG00000102317"	"ENST00000376759"	0.0429751181056999	0.304617748925697	11	"ENST00000376759, ENST00000354480, ENST00000376755, ENST00000466764, ENST00000472897, ENST00000485213, ENST00000488216, ENST00000489344, ENST00000490127, ENST00000491236, ENST00000491240"
"69"	"ENSG00000102531"	"ENST00000398316"	0.820752702729609	0.9821015215739	6	"ENST00000398316, ENST00000378383, ENST00000484074, ENST00000492622, ENST00000497644, ENST00000541916"
"70"	"ENSG00000102606"	"ENST00000426073"	0.165138456341721	0.574803513501734	19	"ENST00000426073, ENST00000218789, ENST00000317133, ENST00000375723, ENST00000375736, ENST00000375739, ENST00000375741, ENST00000422836, ENST00000426768, ENST00000449979, ENST00000466143, ENST00000467053, ENST00000469877, ENST00000478679, ENST00000483189, ENST00000483540, ENST00000491688, ENST00000491775, ENST00000544132"
"71"	"ENSG00000102699"	"ENST00000381989"	0.78432214630726	0.967089308739482	3	"ENST00000381989, ENST00000480576, ENST00000484989"
"72"	"ENSG00000103196"	"ENST00000566165"	0.165872518843266	0.574803513501734	11	"ENST00000566165, ENST00000262424, ENST00000563066, ENST00000564567, ENST00000565561, ENST00000566151, ENST00000566431, ENST00000566789, ENST00000567845, ENST00000569090, ENST00000569262"
"73"	"ENSG00000103342"	"ENST00000434724"	0.692031402842162	0.925580144758676	10	"ENST00000434724, ENST00000439887, ENST00000420576, ENST00000562169, ENST00000562794, ENST00000563468, ENST00000564790, ENST00000565267, ENST00000567631, ENST00000568849"
"74"	"ENSG00000103363"	"ENST00000262306"	0.904896035433359	0.994531751688896	5	"ENST00000262306, ENST00000409477, ENST00000409906, ENST00000494946, ENST00000572954"
"75"	"ENSG00000103647"	"ENST00000540068"	0.818589076702505	0.9821015215739	4	"ENST00000540068, ENST00000261861, ENST00000543950, ENST00000566799"
"76"	"ENSG00000103657"	"ENST00000443617"	0.829184844171207	0.983947132132967	15	"ENST00000443617, ENST00000558324, ENST00000558532, ENST00000559715, ENST00000559886, ENST00000559996, ENST00000560316, ENST00000560462, ENST00000560519, ENST00000560897, ENST00000560983, ENST00000561348, ENST00000561359, ENST00000561400, ENST00000561436"
"77"	"ENSG00000104723"	"ENST00000503731"	0.328010350555064	0.744544558405016	13	"ENST00000503731, ENST00000382020, ENST00000503191, ENST00000506802, ENST00000507316, ENST00000507400, ENST00000508446, ENST00000509177, ENST00000509380, ENST00000510836, ENST00000511342, ENST00000511783, ENST00000515859"
"78"	"ENSG00000104969"	"ENST00000221566"	0.46273709701833	0.811051930046672	5	"ENST00000221566, ENST00000586711, ENST00000587866, ENST00000589251, ENST00000591984"
"79"	"ENSG00000105281"	"ENST00000542575"	0.871315511796683	0.994531751688896	6	"ENST00000542575, ENST00000412532, ENST00000434726, ENST00000593713, ENST00000594991, ENST00000598022"
"80"	"ENSG00000105669"	"ENST00000614388"	0.348690276121168	0.757066275181996	12	"ENST00000614388, ENST00000262812, ENST00000349893, ENST00000351079, ENST00000593827, ENST00000595984, ENST00000597026, ENST00000597646, ENST00000598969, ENST00000599964, ENST00000600528, ENST00000600932"
"81"	"ENSG00000105976"	"ENST00000397752"	0.514345901967406	0.853728785441946	7	"ENST00000397752, ENST00000318493, ENST00000422097, ENST00000436117, ENST00000454623, ENST00000456159, ENST00000495962"
"82"	"ENSG00000106263"	"ENST00000360876"	0.415667199481809	0.786705935531211	12	"ENST00000360876, ENST00000397011, ENST00000413917, ENST00000431643, ENST00000463026, ENST00000463229, ENST00000465670, ENST00000466199, ENST00000468250, ENST00000468611, ENST00000475415, ENST00000494658"
"83"	"ENSG00000106683"	"ENST00000336180"	0.091774105570307	0.456032153452454	8	"ENST00000336180, ENST00000418310, ENST00000435201, ENST00000476792, ENST00000483414, ENST00000486361, ENST00000491052, ENST00000538333"
"84"	"ENSG00000107130"	"ENST00000372398"	0.194726402105288	0.625720838764992	3	"ENST00000372398, ENST00000493042, ENST00000630865"
"85"	"ENSG00000107338"	"ENST00000377707"	0.310117775433905	0.729154964678744	1	"ENST00000377707"
"86"	"ENSG00000107554"	"ENST00000324109"	0.216288561470616	0.642861067868773	4	"ENST00000324109, ENST00000422692, ENST00000472036, ENST00000543621"
"87"	"ENSG00000107816"	"ENST00000370223"	0.778976934835037	0.967089308739482	7	"ENST00000370223, ENST00000370220, ENST00000426584, ENST00000429732, ENST00000454422, ENST00000481129, ENST00000489526"
"88"	"ENSG00000107854"	"ENST00000371627"	0.00708030169810678	0.100373688779043	1	"ENST00000371627"
"89"	"ENSG00000107959"	"ENST00000224949"	0.447116354613736	0.798280070206434	11	"ENST00000224949, ENST00000380989, ENST00000380994, ENST00000424714, ENST00000430362, ENST00000451104, ENST00000451454, ENST00000455371, ENST00000464395, ENST00000488065, ENST00000490510"
"90"	"ENSG00000108091"	"ENST00000263102"	0.0523458741442076	0.332264644075411	3	"ENST00000263102, ENST00000491922, ENST00000518638"
"91"	"ENSG00000108298"	"ENST00000225430"	0.293260393213789	0.729154964678744	8	"ENST00000225430, ENST00000577741, ENST00000577759, ENST00000579260, ENST00000579374, ENST00000580333, ENST00000582193, ENST00000585199"
"92"	"ENSG00000108829"	"ENST00000225972"	1.65693773943691e-06	6.65536658673825e-05	3	"ENST00000225972, ENST00000503118, ENST00000576448"
"93"	"ENSG00000108953"	"ENST00000571732"	0.0165761600349528	0.165424405012568	13	"ENST00000571732, ENST00000264335, ENST00000466227, ENST00000469398, ENST00000486241, ENST00000489287, ENST00000496706, ENST00000498643, ENST00000572108, ENST00000573026, ENST00000573196, ENST00000575977, ENST00000576854"
"94"	"ENSG00000109046"	"ENST00000262394"	0.995671643908165	0.999792416211907	17	"ENST00000262394, ENST00000348811, ENST00000427287, ENST00000467843, ENST00000487603, ENST00000578312, ENST00000579733, ENST00000581089, ENST00000581185, ENST00000581440, ENST00000582208, ENST00000583096, ENST00000583193, ENST00000583742, ENST00000583786, ENST00000584114, ENST00000584354"
"95"	"ENSG00000109089"	"ENST00000337231"	0.710995161080571	0.933096743208562	1	"ENST00000337231"
