"ens_gene"	"target_id"	"pval"	"qval"	"num_transcripts"	"all_target_ids"
"91"	"ENSG00000108298"	"ENST00000225430"	0.29320506741482	0.730114587318846	8	"ENST00000225430"
"92"	"ENSG00000108829"	"ENST00000225972"	1.65693773943691e-06	6.65536658673825e-05	3	"ENST00000225972"
"93"	"ENSG00000108953"	"ENST00000571732"	0.0140374634251821	0.150356830465284	13	"ENST00000571732"
"94"	"ENSG00000109046"	"ENST00000262394"	0.995664091248422	0.999792416211907	17	"ENST00000262394"
"95"	"ENSG00000109089"	"ENST00000337231"	0.710995161080571	0.933096743208562	1	"ENST00000337231"
"96"	"ENSG00000109189"	"ENST00000451218"	0.116633158420538	0.498114244237531	9	"ENST00000451218"
"97"	"ENSG00000109606"	"ENST00000336812"	0.144977131456007	0.550228168203115	10	"ENST00000336812"
"98"	"ENSG00000109756"	"ENST00000264431"	0.269985111139431	0.707243606354378	13	"ENST00000264431"
"99"	"ENSG00000110107"	"ENST00000227524"	0.165308631381099	0.575791669376691	7	"ENST00000227524"
"100"	"ENSG00000110237"	"ENST00000263674"	0.336189728295643	0.750048469056641	6	"ENST00000263674"
"101"	"ENSG00000110422"	"ENST00000379016"	0.19130652738338	0.623038825667495	6	"ENST00000379016"
"102"	"ENSG00000110660"	"ENST00000525071"	0.331794288432341	0.750048469056641	6	"ENST00000525071"
"103"	"ENSG00000110841"	"ENST00000228425"	0.819043481717616	0.982190768531659	18	"ENST00000228425"
"104"	"ENSG00000111252"	"ENST00000341259"	0.418398251839468	0.78972013451792	3	"ENST00000341259"
"105"	"ENSG00000111412"	"ENST00000261318"	0.0504206169225551	0.332914210365364	4	"ENST00000261318"
"106"	"ENSG00000111642"	"ENST00000357008"	0.580548459992404	0.879330978495898	14	"ENST00000357008"
"107"	"ENSG00000111799"	"ENST00000345356"	0.180328127675764	0.592074006653036	11	"ENST00000345356"
"108"	"ENSG00000111843"	"ENST00000229563"	0.378031723839802	0.787363660841254	5	"ENST00000229563"
"109"	"ENSG00000112306"	"ENST00000230050"	0.0375389409692887	0.282715149174955	2	"ENST00000230050"
"110"	"ENSG00000112419"	"ENST00000427704"	0.63196892646846	0.895216671151975	12	"ENST00000427704"
"111"	"ENSG00000112763"	"ENST00000312541"	0.246970456675305	0.678685297060584	7	"ENST00000312541"
"112"	"ENSG00000113583"	"ENST00000231512"	0.395729274023956	0.788937881422776	3	"ENST00000231512"
"113"	"ENSG00000113719"	"ENST00000393784"	0.195816684793605	0.625057232255082	14	"ENST00000393784"
"114"	"ENSG00000113739"	"ENST00000265087"	0.0980637151280565	0.458900103803138	5	"ENST00000265087"
"115"	"ENSG00000114331"	"ENST00000326793"	0.649817839222077	0.907861444942149	15	"ENST00000326793"
